<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/16/21;13:55:00,646.4100000,647.0000000,646.0000000,646.9500000,1511
07/16/21;14:00:00,646.9100000,647.3100000,645.2500000,645.5100000,4908
07/16/21;14:05:00,645.7500000,645.7500000,644.7000000,644.7000000,4577
07/16/21;14:10:00,644.7200000,645.9200000,644.2000000,645.9200000,1800
07/16/21;14:15:00,645.7400000,646.2000000,644.2500000,644.2500000,1454
07/16/21;14:20:00,644.6200000,645.8500000,644.5400000,645.7600000,2295
07/16/21;14:25:00,645.9400000,646.3000000,645.6500000,645.8500000,1958
07/16/21;14:30:00,646.1200000,646.5000000,645.1700000,645.4700000,2643
07/16/21;14:35:00,645.1100000,645.6500000,644.6600000,644.6600000,2298
07/16/21;14:40:00,645.5000000,645.9500000,645.5000000,645.5300000,1000
07/16/21;14:45:00,645.9900000,646.6000000,645.1600000,645.2100000,3761
07/16/21;14:50:00,645.0100000,645.3400000,644.6700000,645.0400000,1897
07/16/21;14:55:00,644.8000000,644.8000000,643.3800000,644.0700000,7962
07/16/21;15:00:00,644.3600000,644.8000000,644.1100000,644.3250000,3236
07/16/21;15:05:00,644.0500000,644.0500000,643.3500000,643.3500000,6943
07/16/21;15:10:00,643.3800000,644.8900000,643.3800000,644.8800000,7404
07/16/21;15:15:00,644.8500000,645.4000000,644.2100000,645.4000000,3907
07/16/21;15:20:00,645.2300000,646.8800000,645.0000000,646.8800000,10894
07/16/21;15:25:00,646.7700000,646.7700000,645.2200000,645.2200000,5911
07/16/21;15:30:00,644.7200000,644.9100000,643.4700000,643.5200000,8964
07/16/21;15:35:00,643.5650000,643.7500000,642.2000000,643.0700000,13694
07/16/21;15:40:00,642.6400000,643.0400000,642.3500000,642.3500000,4717
07/16/21;15:45:00,642.6350000,643.7800000,642.6350000,643.2300000,9172
07/16/21;15:50:00,643.2650000,643.8000000,642.8000000,643.0100000,10207
07/16/21;15:55:00,643.3150000,644.1000000,642.8200000,644.1000000,9461
07/16/21;16:00:00,644.1200000,645.2300000,643.9700000,644.1400000,19444
07/19/21;09:35:00,629.6300000,635.8300000,627.2500000,628.2200000,34037
07/19/21;09:40:00,628.1200000,633.3700000,627.6000000,628.6000000,8964
07/19/21;09:45:00,628.0000000,630.2100000,626.0000000,629.8000000,10095
07/19/21;09:50:00,630.0400000,632.0000000,628.2600000,628.2600000,3705
07/19/21;09:55:00,628.4500000,631.1900000,627.7300000,628.7400000,9929
07/19/21;10:00:00,627.9000000,629.0000000,627.0000000,627.6500000,4497
07/19/21;10:05:00,628.3600000,628.3600000,623.7400000,623.7700000,5128
07/19/21;10:10:00,624.5800000,625.5500000,622.7200000,623.1500000,1722
07/19/21;10:15:00,622.9400000,623.4500000,621.5500000,622.4400000,4072
07/19/21;10:20:00,622.6000000,625.8700000,622.6000000,625.8700000,3126
07/19/21;10:25:00,625.9500000,628.4900000,625.9500000,628.0000000,5396
07/19/21;10:30:00,627.3600000,628.4500000,626.3000000,628.3300000,2782
07/19/21;10:35:00,627.8400000,628.0400000,626.0500000,626.4200000,3432
07/19/21;10:40:00,625.3800000,627.7700000,623.5800000,627.7700000,13190
07/19/21;10:45:00,628.7400000,630.7100000,628.7100000,630.0000000,2853
07/19/21;10:50:00,629.9900000,631.0000000,629.1600000,630.5000000,8743
